url,prices_per_night,ratings,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,log_num_reviews,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero,cantidad_comentarios,polaridad_media,subjetividad_media,palabras_mas_usadas,sentimiento
https://www.airbnb.es/rooms/52981104?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-07&check_out=2024-11-12&source_impression_id=p3_1731019318_P3bItgWx3F2KqldQ&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,31.0,4.46,0.0,1.0,1.0,0.5,1.0,840.0,660.0,10.0,7.931284761525891,4.0,4.0,2.0,1.0,11.0,10.0,5.0,3.0,3.0,6.0,0.0,4.0,5.0,1.0,0.0,2780.0,0.413155679213657,0.5818088048865857,"[('buen', 716), ('hostal', 701), ('lugar', 599), ('bien', 524), ('limpio', 495), ('ubicacin', 465), ('playa', 415), ('cerca', 408), ('habitacin', 383), ('est', 367)]",Positivo
https://www.airbnb.es/rooms/1155809416104019462?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-22&check_out=2024-11-27&source_impression_id=p3_1731019318_P3u38jc2Lg2ACNmP&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,125.0,0.0,0.0,1.0,4.333333333333333,1.0,2.0,900.0,660.0,9.0,0.0,0.0,6.0,2.0,0.0,14.0,7.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.154,0.534,"[('gran', 2), ('barcelona', 2), ('aqu', 2), ('apartamento', 1), ('amplio', 1), ('cocina', 1), ('bien', 1), ('equipado', 1), ('terrazar', 1), ('exterior', 1)]",Positivo
https://www.airbnb.es/rooms/1280281294391488962?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2021986255&search_mode=regular_search&check_in=2024-11-16&check_out=2024-11-21&source_impression_id=p3_1731019318_P3eyKzmue3ZQiGJl&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,50.0,0.0,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,0.0,0.0,4.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
https://www.airbnb.es/rooms/1279034995385137358?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2020960331&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1731019318_P3tEYIwBDtBhZlRu&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,57.0,0.0,20.0,1.0,1.0,0.5,2.0,1020.0,660.0,7.0,0.0,1.0,6.0,2.0,0.0,10.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.8,0.75,"[('estancia', 1), ('estupendo', 1)]",Positivo
https://www.airbnb.es/rooms/1251405079105833124?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1998310392&search_mode=regular_search&check_in=2024-11-18&check_out=2024-11-23&source_impression_id=p3_1731019318_P3Ub9RsNioZZ3Y9b&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,52.0,5.0,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,1.3862943611198906,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.3658518518518519,0.5175185185185186,"[('est', 3), ('bien', 2), ('barcelona', 2), ('buen', 2), ('centro', 2), ('piso', 2), ('departamento', 1), ('sper', 1), ('ubicado', 1), ('tranquilo', 1)]",Positivo
https://www.airbnb.es/rooms/1254299121348179957?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2000860585&search_mode=regular_search&check_in=2024-11-25&check_out=2024-11-30&source_impression_id=p3_1731019318_P3qK0LUj4EO7dXvI&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,60.0,0.0,0.0,1.0,2.0,0.5,2.0,900.0,680.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
https://www.airbnb.es/rooms/1197658127949521687?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1731019318_P3jRk9clNyowpsZY&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,91.0,0.0,0.0,2.0,3.0,1.0,4.0,840.0,600.0,10.0,0.0,0.0,5.0,0.0,0.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,"[('cerca', 3), ('recibimiento', 1), ('amable', 1), ('claro', 1), ('departamento', 1), ('impecable', 1), ('bonito', 1), ('lugar', 1), ('bastante', 1), ('bien', 1)]",Neutral
https://www.airbnb.es/rooms/1192612229323894350?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-03&check_out=2024-12-08&source_impression_id=p3_1731019327_P3OPv4C93boQK41V&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,96.0,0.0,0.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,1.0986122886681098,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.367625,0.6623958333333333,"[('apartamento', 2), ('ubicacin', 2), ('lavadoro', 2), ('anfitrin', 2), ('limpieza', 2), ('detalle', 2), ('1500', 2), ('estupendo', 1), ('perfecto', 1), ('balcn', 1)]",Positivo
https://www.airbnb.es/rooms/1123156827645522473?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1894631759&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1731019327_P3KcjsPKIsEjfuxT&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,49.0,4.65,0.0,1.0,1.0,0.5,1.0,900.0,720.0,9.0,3.1780538303479458,1.0,3.0,1.0,1.0,10.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,,
https://www.airbnb.es/rooms/1250095973933022993?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1997518703&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1731019327_P3tAgL8jcnvZ6jBS&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,33.0,5.0,0.0,1.0,1.0,0.5,2.0,900.0,660.0,9.0,1.6094379124341005,0.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.2026984126984126,0.4489484126984127,"[('limpio', 3), ('ubicacin', 2), ('centro', 2), ('piola', 1), ('gran', 1), ('habitacin', 1), ('cama', 1), ('cmodir', 1), ('ciudad', 1), ('bao', 1)]",Positivo
