prices_per_night,ratings,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,log_num_reviews,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero
22.0,4.1,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,5.3706380281276624,1.0,1.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0
122.0,5.0,40.0,1.0,2.0,1.0,3.0,960.0,720.0,8.0,1.3862943611198906,0.0,2.0,1.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
23.0,4.54,0.0,1.0,12.0,0.5,1.0,900.0,660.0,9.0,5.8805329864007,2.0,1.0,2.0,0.0,8.0,4.0,0.0,4.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0
142.0,0.0,0.0,1.0,2.0,1.0,4.0,900.0,600.0,9.0,0.0,0.0,4.0,2.0,0.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
96.0,0.0,115.0,2.0,2.0,2.0,4.0,900.0,660.0,9.0,0.0,1.0,6.0,2.0,1.0,8.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
74.0,4.5,0.0,1.0,2.0,1.0,2.0,900.0,660.0,9.0,5.342334251964811,2.0,6.0,2.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0
26.0,4.31,0.0,1.0,1.0,0.5,1.0,840.0,600.0,10.0,6.856461984594587,1.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0
56.0,4.47,0.0,1.0,1.0,1.0,1.0,900.0,720.0,9.0,4.6443908991413725,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
43.0,4.5,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,1.6094379124341003,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
50.0,4.91,0.0,1.0,1.0,0.5,1.0,900.0,720.0,9.0,0.0,1.0,6.0,2.0,2.0,7.0,8.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,1.0,0.0
80.0,0.0,0.0,1.0,2.0,1.0,2.0,840.0,600.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
160.0,4.84,40.0,2.0,3.0,1.0,4.0,840.0,660.0,10.0,0.0,2.0,3.0,2.0,2.0,14.0,8.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0
90.0,0.0,40.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,0.0,1.0,5.0,2.0,1.0,9.0,6.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
50.0,0.0,45.0,1.0,1.0,0.5,2.0,900.0,660.0,9.0,0.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
95.0,4.97,40.0,1.0,1.0,1.0,2.0,540.0,1140.0,15.0,0.0,1.0,4.0,2.0,1.0,9.0,9.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
101.0,4.55,0.0,1.0,3.0,1.0,3.0,840.0,660.0,10.0,6.548219102762372,2.0,2.0,2.0,0.0,6.0,5.0,1.0,3.0,2.0,2.0,0.0,3.0,3.0,1.0,0.0
